SMA	35	1956.43520155992
SMA	41	2201.48087501661
SMA	41	2524.63370171716
SMA	35	2860.66803038566
SMA	35	1920.10532888911
EMA	44	184.781367493663
EMA	31	119.209633176428
EMA	44	252.655687694029
EMA	43	183.575911883637
EMA	44	155.420968268717
SMAcross	10,44	23286915150.009
SMAcross	6,43	99822676972.8453
SMAcross	6,51	36978369294.5831
SMAcross	6,42	11255397692.4025
SMAcross	6,43	16946734345.6431
EMAcross	8,24	13093745688.8302
EMAcross	8,26	11690730324.5362
EMAcross	8,24	13810876851.8229
EMAcross	8,26	15544924993.0885
EMAcross	8,26	8210731171.15349
DMI	57	98270.0645167505
DMI	61	74882.2544286324
DMI	61	114141.388015722
DMI	57	3492.03540847358
DMI	57	183518.052219698
DC	19	32280504945.2017
DC	19	43834589983.5333
DC	19	35214269269.4902
DC	19	33549586385.0376
DC	19	23369446503.291
KST	1.8,0.34,60	1230273.00731229
KST	1.8,0.36,57	195031.444189526
KST	1.8,0.34,60	476274.694029579
KST	2.3,0.68,52	769.155956072883
KST	1.8,0.34,60	425280.179516198
STO	17,38,28	386378487.263767
STO	13,36,77	387889167.416982
STO	15,39,29	367787558.429407
STO	13,37,76	1876236.88470444
STO	15,39,29	253830307.5523
dRSI	247296	1222.09120561568
dRSI	250292	77.3344690412949
dRSI	248256	1202.90151619735
dRSI	250255	5.12507423535008
dRSI	246268	52.6019046390408
TSI	190,50,11	13368784981.3711
TSI	199,29,12	11656473635.0964
TSI	166,41,16	55987203367.625
TSI	137,59,10	1760503813.7171
TSI	175,57,10	1316393672.61415
